record_id,publication_year,observation_period,table_id,topic,table_title,header_index,excel_column_number,measure,population,unit,denominator,header_notes,table_notes,breakdowns,row_count,candidate_dimensions,review_status,source_workbook,source_sheet,derived_file
2006-07:4-2:5,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",5,7,web presence,Non innovation-active businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-2:6,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",6,8,placed orders via the Internet or web,Non innovation-active businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Digital transactions,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-2:7,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",7,9,received orders via the Internet or web,Non innovation-active businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Digital transactions,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-2:8,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",8,10,Internet access,All businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-2:9,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",9,11,web presence,All businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-2:10,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",10,12,placed orders via the Internet or web,All businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Digital transactions,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-2:11,2006-07,2006–07,4-2,4,"Table 2 Businesses use of information technology, innovator status by key indicators, industry by employment size–2006–07",11,13,received orders via the Internet or web,All businesses,%,Businesses in the selected category and population.,,,"Mining | Manufacturing | Electricity, Gas, Water and Waste Services | Construction | Wholesale Trade | Retail Trade | Accommodation and Food Services | Transport, Postal and Warehousing | Information Media and Telecommunications | Financial and Insurance Services | Rental, Hiring and Real Estate Services | Professional, Scientific and Technical Services | Administrative and Support Services | Health Care and Social Assistance | Arts and Recreation Services | Other Services | Total All Industries",85,Digital transactions,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_2,data/dashboard-2006-07.json
2006-07:4-3:0,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",0,2,DSL,Innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:1,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",1,3,Cable,Innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
2006-07:4-3:2,2006-07,2006–07,4-3,4,"Table 3 Main type of broadband connection, by innovator status, by employment size, by industry–2006–07",2,4,Fixed wireless,Innovation-active businesses,%,"Businesses with broadband as their main Internet connection at 30 June 2007, in the selected category and population.",,"A4: Proportion of businesses that identified broadband as their main type of Internet connection as at 30 June 2007, in each output category. For the purposes of confidentiality and to maximise data availability, some output categories have been excluded due to the small number of contributing businesses.",Employment size | Industry | Overall,21,Basic connectivity,UNREVIEWED,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls,Table_3,data/dashboard-2006-07.json
